sentence,audio_kz_wav
Қасым-Жомарт Тоқаев пен Никол Пашинян екі жақты сауда-экономикалық және мәдени-гуманитарлық ықпалдастықты одан әрі нығайту перспективаларын талқылады.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_21.wav
Қазақстан Президентінің биылғы сәуір айында Арменияға жасаған ресми сапары барысында жоғары деңгейде қол жеткізілген уағдаластықтарды сапалы жүзеге асыру мәселесіне ерекше назар аударылды.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_22.wav
Тараптар өңірлік және халықаралық күн тәртібіндегі өзекті мәселелер жөнінде пікір алмасты.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_23.wav
Мемлекет басшысы Қасым-Жомарт Тоқаев «QazaqGaz» ұлттық компаниясының басқарма төрағасы Санжар Жаркешовты қабылдады.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_24.wav
Кездесуде биылғы жұмыстың қорытындысы туралы есеп берілді.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_25.wav
"Қазір “Алматы – Байсерке – Талғар» газ құбырының екінші желісі, сондай-ақ Алматыдағы екінші және үшінші жылу электр орталықтарының газға арналған инфрақұрылымын жасақтау жұмыстары аяқталды.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_26.wav
"Бұдан бөлек, «Талдықорған – Үшарал» магистральді газ құбыры салына бастады.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_27.wav
Өзбекстанға газ тасымалдау көлемін ұлғайту үшін «Орта Азия – Орталық» жүйесін жаңғырту бойынша дайындық жұмыстары жүріп жатыр.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_28.wav
"Ел экономикасындағы тауарлы газды тұтыну көлемінің еселеп артуын ескере отырып, аталған саланың геологиялық барлау жобаларын жүзеге асыруға шетелден инвестиция тартылған.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_29.wav
Бұл іске Chevron сынды компаниялар атсалысып жатыр.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_30.wav
Ақсу-Аюлы мен Балқаш қаласының аралығында автокөліктердің қозғалуына шектеу қойылды.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_31.wav
Астана-Қарағанды одан әрі Алматыға қатынайтын бұл жол да күн райы күрт бұзылған.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_32.wav
Ақсу-Аюлы бұл - Қарағанды облысының Шет ауданына қарайтын елді мекен.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_33.wav
Төтенше жағдайлар қызметі жүргізушілерге жолға шықпас бұрын хабараламаларға назар аударуды ескертеді.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_34.wav
"Талғардағы атышулы іс бойынша барлық айғақ алынып, қажетті сараптамалар жүріп жатыр.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_35.wav
Бұл туралы Ішкі істер министрінің бірінші орынбасары Бауыржан Аленов пен Алматы облысының прокуроры Берік Адамов хабарлады.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_36.wav
"""Қаза тапқан Шерзат Болаттың үйі өртенген кезде баспанада ешкім тұрып жатқан жоқ болатын.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_37.wav
Отбасы мүшелері қазір басқа мекен-жайда тұрып жатыр.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_38.wav
"Қылмыскерлер ұсталып, міндетті түрде жауапқа тартылады"", - деді Ішкі істер министрінің бірінші орынбасары.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_39.wav
"Бауыржан Аленовтің айтуынша, қылмыс жасалған сәттен бастап, яғни 4 қазаннан бері Ішкі істер министрлігінің орталық аппараты қызметкерлерінен құралған жедел-тергеу тобы жұмыс істеп жатыр.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_40.wav
Алматы облысының прокуроры Берік Адамов тергеу әрекеттері Бас прокуратураның бақылауында екенін атап өтті.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_41.wav
"""Тергеу барысы туралы бас прокурорға есеп беремін.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_42.wav
Бүгінгі таңда арнайы прокурорлар үйді өртеу фактісін тергеп жатыр.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_43.wav
"Оқиға орнынан барлық айғақ алынып, олар бойынша тиісті сараптамалар тағайындалды.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_44.wav
"Біз сараптама нәтижелерін күтудеміз, одан кейін қосымша ақпарат беріледі.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_45.wav
"Азаматтарға жалған ақпарат таратқаны үшін қылмыстық жауапкершілік қарастырылатынын ескерткім келеді"", - деді Алматы облысының прокуроры Берік Адамов.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_46.wav
" Президент Қасым-Жомарт Тоқаев жеделхатта Король VI Фелипені Испанияның ұлттық күнімен құттықтап, Корольдікті іргесі берік, әлеуметтік-экономикалық әлеуеті мен халықаралық сахнадағы беделі жоғары мемлекет ретінде бағалады.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_47.wav
"Мемлекет басшысы Қазақстан мен Испания арасындағы стратегиялық серіктестік уақыт өткен сайын нығайып келе жатқанын зор ризашылықпен атап өтіп, бірлескен күш-жігер арқылы өзара тиімді ынтымақтастық екі ел халқының игілігі үшін ұдайы дами беретініне сенім білдірді.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_48.wav
"Қазақстан Президенті Испания Королінің барлық игі бастамасына толайым табыс, ал достас испан халқына бақ-береке тіледі.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_49.wav
Түрлі жаһандық сын-қатерлер пайда болып жатқан күрделі кезеңде Мақтымқұлы Пырағы поэзиясындағы терең гуманистік ойлар өзекті болып отыр.,nan
"Ақын өз шығармаларында бейбітшілік, өзара сенім мен құрмет сияқты мызғымас құндылықтарды дәріптейді.",nan
Бұл жөнінде бүгін Ашхабадта ғұламаның 300 жылдық мерейтойына арналған халықаралық форумға қатысқан мемлекет басшысы Қасым-Жомарт Тоқаев айтты.,nan
"Тағы Президент өз сөзінде тұрақты бейтараптық саясатын ұстанған Түрікменстан елі әлемдегі қауіпсіздік пен тұрақтылықты нығайтуға мол үлес қосып, Орталық Азия және Каспий аймағында көпжақты ынтымақтастықты дамытуға ықпал етіп отырғандығын да мәлімдеді.",nan
"Риат Шони, тілші: - Мақтымқұлы Пырағы – түркі әлемінің тұғыры биік тұлғасы, жүрекке жақын жырлары мен даналығымен халқына жол көрсеткен ақын.Оның өсиет сөздері мен өлеңдері тасқа қашалғандай мәңгі сақталып, түркі жұртының рухани азығына айналды.",nan
"Асыл сөздің астарын аңдаған түркі бауырлары үшін оның жырлары құнды қазына, терең ойдың қайнары.",nan
Ал биыл ТҮРКСОЙ ұйымы 2024 жылды Мақтымқұлы Пырағы жылы деп жариялаған болатын.,nan
"Түрікменнің төлқұжатына айналған Мақтымқұлы Пырағының өлеңдері – қияндағы құмның ішінен туған ұлы дала үні, халықтың жан тебіренісі мен мұң-зарының айнасы.",nan
"Қаншама жылдар өтсе де, ақынның жырлары сарқылмас бұлақтай, әр дәуірдің рухани нәрін беріп, түркі жұртының мәңгілік шамшырағы болып қала бермек.",nan
"Ақын өлсе де, өлеңі өлмейді.",nan
Мақтымқұлы Пырағының туғанына 300 жыл толуына орай өткен «Дәуірлер мен өркениеттер байланысы – бейбітшілік пен дамудың негізі» атты халықаралық форумға сөз сөйлеген Президент ғұламаның күллі шығыс жұртына ортақ ойшыл екендігін айтты.,nan
"Қасым-ЖомартТоқаев, Қазақстан Республикасының Президенті: -Мақтымқұлы Пырағы – әлем руханиятында орны бар тарихи тұлға.",nan
Сондықтан ЮНЕСКО ақын мұраларын «Әлем жады» атты халықаралық тізімге енгізген.,nan
Ал ТҮРКСОЙ ұйымы осы жылды «Түркі әлемінің ұлы ақыны әрі ойшылы Мақтымқұлы Пырағы жылы» деп жариялады.,nan
Бұл – барша түркі жұртының ерекше сый-құрметі екені сөзсіз.,nan
Ұйымның шешімі ақын шығармаларын халықаралық деңгейде танытуға септігін тигізеді деп сенемін.,nan
"Жасыратының жоқ, қазір әлемдегі геосаяси ахуал мың құбылып, ушығып тұр.",nan
Жаһандық сын-қатерлер де пайда болып жатыр.,nan
Осы ретте Президент мұндай күрделі кезеңде поэзияның пырағы атанған ғұламаның рухани мұрасы айрықша өзекті бола түскенін жеткізді.,nan
"Қасым-ЖомартТоқаев, Қазақстан Республикасының Президенті: - Мақтымқұлы поэзиясы терең гуманистік ойларға толы.Ақын өз шығармаларында бейбітшілік, өзара сенім мен құрмет сияқты мызғымас құндылықтарды дәріптейді.",nan
Оның әр туындысында Отанға деген шексіз сүйіспеншілік бар.,nan
"Мақтымқұлы халықты басқа елдермен, яғни,күллі әлеммен ынтымақта өмір сүруге шақырды.",nan
Мұны жарқын болашақтың кепілі деп түсінді.,nan
"Эльвира Қадырова, News Cenral Asia бас редакторының орынбасары: - Қазіргі күрделі геосаяси кезеңде Мақтымқұлы өз поэзияларында насихаттаған құндылықтар өзекті болып отыр.Түрікменстан бейбітшілікке негізделген саясат жүргізеді және бұл принциптер сыртқы саясатқа негізделген.",nan
"Бүгінгі шараға да бір кеңістікте, Евразия кеңістігіндегі мемлекеттер қатысып отыр.",nan
Бұл халықтарды мәдениет қызықтырады.,nan
Сондықтан мәдени дипломатияны дамыту маңызды.,nan
"Тағы форум барысында Қасым-Жомарт Тоқаев бауырлас елдің ауқымды реформалар жүргізіп, қарқынды даму жолына түскеніне назар аударды.",nan
Түрікменстан әу бастан бейтараптық саясатқа ден қойған.,nan
"Осы қағидатты берік ұстанған мемлекет ұлттық бірегейлігін де сақтап, елдік мүддесін қорғап келеді.",nan
Бұған келер жылы 30 жыл толады.,nan
Табанды саясатының арқасында бауырлас ел әлемдегі қауіпсіздік пен тұрақтылықты нығайтуға да мол үлес қосуда.,nan
"Қасым-ЖомартТоқаев, Қазақстан Республикасының Президенті: - Сондай-ақ Орталық Азия және Каспий аймағында көпжақты ынтымақтастықты дамытуға ықпал етуде.",nan
Біріккен ұлттар ұйымы 2025 жылды «Халықаралық бейбітшілік және сенім жылы» деп жариялады.Бұл игі бастаманы Түрікменстан елі көтерді.,nan
Мақтымқұлы түрікмен жұртының іргелі ел болуын аңсап өтті.,nan
Бүгінде ұлы бабаның арманы ақиқатқа айналды.,nan
Түрікменстан өсіп-өркендеген мықты мемлекет болып отыр.,nan
"Сердар Бердімұхамедов, Түрікменстан Республикасының Президенті: - Мақтымқұлы Пырағының мұрасы – біздің үлкен байлығымыз және оның өсиеттерін берік ұстану – біздің қасиетті міндетіміз.Ақын нұсқауларына адал бола отырып, біз халықтың бірлігі мен ынтымағын, мемлекеттің егемендігін одан әрі нығайта береміз.",nan
"Сондай-ақ әлемнің басқа елдерімен достық пен бауырластық байланыстарын, тату көршілік пен өзара тиімді ынтымақтастықты кеңейтетін боламыз.",nan
Біз әрқашан бейбітшілік пен адамзаттың теңгерімді дамуына үлес қосуға дайынбыз.,nan
Жалпы түбі бір түркі жұртына құндылығы ортақ ғұлама – Мақтымқұлының мәдени мұрасын насихаттауда Қазақстанның да қосып жатқан үлесі зор.,nan
"Елімізде халықаралық конференция өткізіліп, классиктің өміріне арналған деректі фильм де түсірілді.",nan
Ал биыл Мақтымқұлы атындағы халықаралық сыйлық тағайындау туралы бастама көтердік.,nan
Тағы жақында екі ел арасындағы мызғымас достық пен тату көршіліктің символы ретінде Астанада Мақтымқұлының ескерткіші де орнатылды.,nan
Форум барысында Президент поэзия пырағы Мақтымқұлы мен өлең патшасы Абай шығармаларында үндестік бар екендігін де айтты.,nan
"Қасым-ЖомартТоқаев, Қазақстан Республикасының Президенті: - Олардың рухани мұрасы екі елдің сан қырлы мәдениетін байытып, барша адамзаттың ортақ құндылығына айналды.Қазақ-түрікмен халықтарының тамыры – бір, тарихы – ортақ.",nan
Достығымыздың ғасырлар бойы қалыптасқан дәстүрі бар.,nan
Осы мызғымас құндылықтардың негізінде екі мемлекет арасындағы ынтымақтастық белсенді дамуда.,nan
Мұның бәрі қазақ-түрікмен қатынастарын одан әрі нығайта түсері сөзсіз.,nan
"Поэзия пырағы Мақтымқұлының жырлары заманалар ауысса да, көңіл төрінде сақталады.",nan
Ақынның үні өміршең.,nan
Оған бүгінгі ауқымды шара дәлел бола алады.,nan
Мақтымқұлы Пырағының туғанына 300 жыл толуына орай өткен «Дәуірлер мен өркениеттер байланысы – бейбітшілік пен дамудың негізі» атты форумға 9 елдің Президенті қатысты.,nan
"Авторлары: Риат Шони, Марат Диханбаев, Дулат Ентебеков, ПТРК",nan
"Мемлекет басшысы Түрікменстанға ресми сапары аясында түрікмен ақыны Мақтымқұлы Пырағының туғанына 300 жыл толуына орай өткен «Дәуірлер мен өркениеттер байланысы – бейбітшілік пен дамудың негізі» атты халықаралық форумға қатысты, деп хабарлайды24kz.",nan
"Президент өз сөзінде Мақтымқұлының күллі шығыс жұртына ортақ ұлы ойшыл, түрікмен классикалық әдебиетінің негізін қалаған бірегей тұлға екенін атап өтті.",nan
«ЮНЕСКО ақын мұраларын «Әлем жады» атты халықаралық тізімге енгізген.,nan
Ал ТҮРКСОЙ ұйымы осы жылды «Түркі әлемінің ұлы ақыны әрі ойшылы Мақтымқұлы Пырағы жылы» деп жариялады.,nan
"Ұйымның шешімі ақын шығармаларын халықаралық деңгейде танытуға септігін тигізеді деп сенемін», - деді Қасым-Жомарт Тоқаев.",nan
"Оған қоса, қазақ ойшылы Абаймен ұқсастықтарын атап өтті.",nan
Президент Қасым-Жомарт Тоқаевтың Түрікменстанға жасаған ресми сапары жалғасып жатыр.,nan
Бүгін Мемлекет басшысы Ашхабадта «Дәуірлер мен өркениеттер байланысы – бейбітшілік пен дамудың негізі» атты халықаралық форумына қатысады.,nan
Бұл түркі әлемінің тұғыры биік тұлғасы Мақтымқұлы Пырағының 300 жылдығына арналған шара.,nan
Форумға келген Қасым-Жомарт Тоқаевты Түрікменстан Президенті Сердар Бердімұхамедов қарсы алды.,nan
Орталық Азия емес Түркістан.,nan
Түркия біздің географиялық өңірді осылай атамақ.,nan
Бұл туралы осы елдің Ұлттық білім беру министрі мәлімдеді.,nan
"Министрдің айтуынша, елеулі қадам – тарихи тұрғыда дұрыс әрі әділ шешім, өйткені «Түркістан» ұғымы ежелден түркі халықтарының мекенін білдірген.",nan
Түркияда 2024-2025 оқу жылынан бастап орта білім беретін оқу ордалары тарих пәнінде «Орталық Азия» атауының орнына «Түркістан» терминін қолданбақ.,nan
"Сарапшылардың айтуынша, бұл өзгеріс болашақ ұрпақтың түркілік сана-сезімін, ұлттық бірегейлігін және отансүйгіштік рухын нығайтуға үлкен үлес қосады.",nan
"Ахмет Ташагил, тарихшы: - Түркістан – түркілердің бағзыдан өмір сүретін жерінің атауы.",nan
Біз бұған дейін батыс және шығыс деректерінде Түркістан деген терминді қолданатынбыз.,nan
"Түркістан дегенде ойымызға Орталық Азияны яғни, Түркіменстан, Өзбекстан, Солтүстік Ауғанстан, Тәжікстан, Қазақстан, Қырғызстаннан құралған аймақ келеді.",nan
Түркиядағы мектеп оқушылары Орталық Азияда басқа да бауырлар бар екенін түсінеді.,nan
"Бұл өз кезегінде, халықтар арасында селбесуді одан әрі арттырады.",nan
Жаңа бағдарлама түркі әлемінің ортақ тарихы мен әдебиеті арқылы халықтарды біріктіруді мақсат етеді.,nan
"Түркияның президенті Режеп Тайып Ердоған да «Түркі дәуірі» кезеңін бастау туралы айтып, Түркияның Түркістанды әлемнің өркендеген күші ретінде қалыптастыруға үлес қосатынын атап өтті.",nan
"Бекир Түмен Сомунжуоғлұ, тарихшы: - Бастауыш сыныптарда Түркістан атауының қолданылуы өте оңды.",nan
"Бұдан басқа Түркістан атауын Түркістанға қатысты түрлі жобаларға, стипендиялық бағдарламаларға және әртүрлі зерттеу орталықтарына беруге болады.",nan
Бұл өз кезегінде тарихи жадыны жаңғырту тұрғысынан оң әсер етеді.,nan
Сондай-ақ Түркі академиясы дайындаған Түркі әлемінің ортақ тарих кітабы бар.,nan
Қазіргі таңда Түркияда және Түркі мемлекеттерінде таңдамалы пән ретінде оқытылады.,nan
"Бұл кітапты міндетті курсқа айналдыру мүмкін болса, Түрік әлемінің ортақ жады мен Түрік әлемінің ортақ санасының дамуына пайдалы болады.",nan
"«Түркістан» атауы қазақ зиялы қауымы да өткен ғасырларда белсенді қолданған», - дейді Түркиядағы қандасымыз, тарихшы Абдулуахап Қара.",nan
"Айтуынша, Қазақстандағы Түркістан атауы берілген жер атаулары, газет журналдар мен өлең шумақтары бұған дәлел.",nan
"Абдулуахап Қара, тарихшы, алаштанушы: - Түркістан атауын кең қолдану идеясын өткен ғасырда қазақ зиялылары алғаш рет атап өткен еді.",nan
"Оның басында, Мағжан Жұмабай келеді.",nan
Мағжан Жұмабай өзінің әйгілі өлеңінде Түркияда да жақсы танылған Түркістан өлеңі.,nan
"Түркістан- екі дүние есігі ғой, Түркістан ер түріктің бесігі ғой.",nan
Тамаша Түркістанда туған түріктің тәңір берген нәсібі ғой деп атап өткен еді.,nan
"Түркиядағы Түркістан ұғымы тарихи, мәдени және рухани тұрғыдан терең мағынаға ие.",nan
"Түркістан – тек географиялық атау ғана емес, сонымен қатар, түркі халықтарының ортақ тамыры мен мәдени бірлігінің символы.",nan
"«Түркістан ұғымы Түркияның рухани және мәдени өмірінде ерекше орын алады және түркі халықтарының болашағына деген көзқарасында маңызды рөл атқарады», - дейді түрік ғалымдары.",nan
"Ашхабадта қазақтың ұлы ақыны, ойшыл Абай Құнанбайұлының ескерткіші ашылды.",nan
Салтанатты шараға Қазақстан Президенті Қасым-Жомарт Тоқаев та қатысты.,nan
Мемлекет басшысы бүгін ресми сапармен Түрікменстанға барды.,nan
"Бұнда Қасым-Жомарт Тоқаев Сердар Бердімұхамедовпен келіссөз жүргізіп, «Дәуірлер мен өркениеттер байланысы – бейбітшілік пен дамудың негізі» атты халықаралық форумға қатысады деп жоспарланған.",nan
"Риат Шони, тілші: - Қазақ-түрікмен қатынастары ғасырлар бойы тамыры тереңге кеткен тарихи байланыстарға негізделген.",nan
"Осы күнге дейін екі халықтың қойы қоралас, ауылы аралас болып, ортақ мәдениет пен дәстүрлер қалыптасты.",nan
"Ал Қазақстан мен Түрікменстанның экономикалық байланысы — «қос өзеннің тоғысындай» үздіксіз дамып, әрбір саланы гүлдендіріп келеді.",nan
Екі ел арасындағы сауда-саттық пен стратегиялық әріптестік Орта Азиядағы тұрақтылықтың мызғымас негізіне айналған.,nan
"Бұл әріптестік тек «жақсы күннің шырағын жағып қана қоймай», болашаққа бағытталған стратегиялық жобалар арқылы «бірліктің жалауын биік ұстауда».",nan
Осы жалаудың тұғырын түсірмей асқақтату үшін қазақ басшысы Қасым-Жомарт Тоқаев ресми сапармен Түрікменстанға келді.,nan
"Түрікмен төріне табан тіреген мәртебелі мейманды әуежайда Халк Маслахатының төрағасы Гурбангулы Бердімұхамедов қарсы алып, зор қошемет көрсетті.",nan
"Құрмет қарауылы сап түзеп, елдің әнұрандары орындалды.",nan
Салтанатты рәсімнен кейін Қасым-Жомарт Тоқаев Түрікменстан Халк Маслахатының төрағасы Гурбангулы Бердімұхамедовпен екі жақты кездесу өткізді.,nan
Тараптар екі ел арасындағы қазіргі әріптестік жайын талқылады.,nan
Қазақ басшысының бұл жолғы ресми сапарының басты мақсаты Қазақстан мен Түрікменстан арасындағы стратегиялық серіктестікті жаңа деңгейге шығару.,nan
"Кездес барысында Президент осыны жеткізіп, қонақжайлық танытқаны үшін Гурбангулы Бердімұхамедовке ризашылығын білдірді.",nan
Ашхабадта ұлы ақын Абайдың ескерткіші ашылды Бұдан соң Қасым-Жомарт Тоқаев пен Гурбангулы Бердімұхамедов Ашхабад төрінде ұлтымыздың ұлы ойшылы Абай Құнанбайұлына арналған ескерткіштің ашылу рәсіміне қатысты.,nan
Салтанатты жиында қазақ басшысы Мақтымқұлы Пырағының 300 жылдық мерейтойына орай арнайы шығарылған медальмен марапаттағаны үшін алғыс айтты.,nan
Ал хәкім Абай ескерткішінің ашылуын түрікмен бауырлардың қазақ халқына айрықша құрметінің көрінісі деп санайтынын атап өтті.,nan
"Қасым-Жомарт Тоқаев, Қазақстан Республикасының Президенті: - Абай – әлемдік ауқымдағы алып тұлға.",nan
Оның шығармалары бүкіл адамзаттың асыл мұрасына айналды.,nan
Жер жүзіндегі көптеген қалада хакім Абайдың ескерткіші бар.,nan
Ұлы ақын саналы ғұмырын ағарту ісіне арнады.,nan
"Абай «Талап қыл артық білуге» деп, өнер-білім философиясын кеңінен насихаттады.",nan
Ол теңдессіз туындылары арқылы мызғымас құндылықтарды дәріптеді.,nan
"Жұртты отаншылдыққа, білімпаздыққа, еңбекқорлыққа баулыды.",nan
Жақсылық пен парасаттылыққа үндеді.,nan
Ашхабадта Абай ескерткішінің ашылуы – бауырластығымызды нығайта түсетін бірегей бастама.,nan
"Айта кету керек, биыл Астанада түрікмен халқының ұлы ойшылы Мақтымқұлы Пырағының ескерткіші ашылған болатын.",nan
"Бұл айтулы оқиғаны да бүгін Президент еске салып, қазақ елі түркі жұртына ортақ тұлғаның шығармашылығына зор құрметпен қарайтынын жеткізді.",nan
"Қасым-Жомарт Тоқаев, Қазақстан Республикасының Президенті: - Шын мәнінде Абай мен Мақтымқұлы еңбектері – түркі дүниесінің құнды қазынасы.",nan
"Оны сақтап, кейінгі ұрпаққа қалдыру – баршамызға ортақ міндет.",nan
Ұлы ақындарымыздың поэзиясында өзара сабақтастық мысалдары көп.,nan
"Біз – түбі бір, тарихы ортақ, тілі мен мәдениеті ұқсас халықтармыз.",nan
Осы бауырластық елдеріміздің қарым-қатынасына арқау болып отыр.,nan
Қазір бұл байланыс стратегиялық серіктестік рухында дамып келе жатыр.,nan
Түрікменстанға бүгінгі ресми сапарым – соның айқын дәлелі.,nan
Абайдың ескерткіші қазақ-түрікмен достығының символына айналады деп сенемін.,nan
Қазақтың ұлы ақыны Абай Құнанбайұлының ескерткіші Ашхабадтың «Лачын» саябағында орналасқан.,nan
"Таза қоладан құйылған мүсіннің биіктігі 4,5 метрге дейін жетеді.",nan
Қолына кітап ұстаған ойшылдың көзқарасы болашаққа бағытталған.,nan
"Жиында сөз сөйлеген Түрікменстан Халк Маслахатының өзінен кейін мол мәдени мұра қалдырған ұлы тұлғаның шығармаларын сақтап, оны болашақ ұрпаққа жеткізудің мәні зор және маңызды миссия екендігін атады.",nan
Президент сапарының тағы бір маңызды бөлігі – ол Түрікменстанның Тәуелсіздік монументіне тағзым ету.,nan
"Қасым-Жомарт Тоқаев мұнда гүл қойып, екі ел арасындағы достық пен ынтымақтастықтың берік екенін көрсетті.",nan
Бауырлас елмен байланыс беки түсті Қазақ басшының Түрікменстанға ресми сапары «Оғызхан» сарайында жалғасты.,nan
Бұл Президент Сердар Бердімұхамедовтың резиденциясы.,nan
"Мұнда мемлекет басшылары бір-біріне делегация мүшелерін таныстырып, шағын құрамда келіссөз жүргізді.",nan
"Сан саладағы әріптестік жайы талқыланып, тараптар энергетика, көлік, сауда-саттық сынды бағыттарда бірлесіп жұмыс істеуге ниетті екендіктерін білдірді.",nan
Жалпы екі ел арасындағы қазіргі қатынас көңіл көншітерлік деңгейде.,nan
